Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,MhcPreCmhc_Tiling,142.101,2,71.051,0.26,141.841,5011.295
host,acl,aclnnMhcPreCmhc,635.427,1,635.427,635.427,635.427,0
host,acl,aclnnMhcPreCmhcGetWorkspaceSize,429593.04,1,429593.04,429593.04,429593.04,0
host,acl,aclrtBinaryLoadFromData,88.788,1,88.788,88.788,88.788,0
host,acl,aclrtCreateContext,2348.049,1,2348.049,2348.049,2348.049,0
host,acl,aclrtCreateStream,550.788,1,550.788,550.788,550.788,0
host,acl,aclrtCtxGetSysParamOpt,8.828,4,2.207,0.275,6.057,5.545
host,acl,aclrtDestroyContext,1141.41,1,1141.41,1141.41,1141.41,0
host,acl,aclrtDestroyStream,526.748,1,526.748,526.748,526.748,0
host,acl,aclrtFree,906.136,14,64.724,0.84,887.231,52040.54
host,acl,aclrtGetHardwareSyncAddr,5.635,1,5.635,5.635,5.635,0
host,acl,aclrtGetResInCurrentThread,21.429,2,10.715,0.25,21.179,109.506
host,acl,aclrtGetStreamAttribute,3.102,1,3.102,3.102,3.102,0
host,acl,aclrtLaunchKernelWithHostArgs,204.443,1,204.443,204.443,204.443,0
host,acl,aclrtMalloc,260.239,14,18.589,1.469,220.28,3150.858
host,acl,aclrtMemcpy,464.151,21,22.102,7.256,117.791,929.989
host,acl,aclrtResetDevice,391680.264,1,391680.264,391680.264,391680.264,0
host,acl,aclrtSetCurrentContext,2.005,1,2.005,2.005,2.005,0
host,acl,aclrtSynchronizeStream,19.708,1,19.708,19.708,19.708,0
host,node,launch,444.272,1,444.272,444.272,444.272,0
